id,title,description_html,description_text,updated_time,created_time,is_top,is_pinned,workspace_id,source_category_id,category_set,tag_set,tag_names,link
146,오픈뱅킹 자동이체 문자를 받았어요.,"<p>토스에 새로운 계좌를 등록하셨다면, 해당 은행에서 자동이체 등록되었다는 문자가 발송돼요.<br><strong>이 문자는 토스를 통해 송금할 수 있게 계좌가 잘 등록되었다는 뜻이에요.</strong></p><p><strong>토스(기관명: 비바리퍼블리카)에 자동이체/오픈뱅킹 출금 동의</strong>가 되었다는 내용은 연결한 계좌에서 주기적으로 출금되거나, 자동 결제가 된다는 뜻이 아니니 안심하셔도 돼요. 해당 문자를 받았다면, 토스에 계좌가 잘 등록되어 원할 때 송금할 수 있어요.</p><p>다만, 다른 사람 이름의 오픈뱅킹/자동이체 등록 문자를 받았다면, <strong>문자를 보낸 은행 고객센터</strong>로 연락처 삭제를 요청해 주세요.&nbsp;</p><p>해당 은행에 연락처 등록이 잘못되어 수신된 문자에요.</p><p>[<a href=""https://toss.im/_m/DdiUkUm"" rel=""noopener noreferrer"" target=""_blank"">연결계좌 관리하기</a>]</p><p><br></p><p><img src=""https://static.toss.im/faq/live/8181ef85-1926-4a5e-a756-f53785bf4bbb/오픈뱅킹 자동이체_1.png"" style=""width: 300px;"" class=""fr-fil fr-dib""><img src=""https://static.toss.im/faq/live/d4c6b5ac-be37-417a-bdfb-ea51dbd7c591/오픈뱅킹 자동이체_2.png"" style=""width: 300px;"" class=""fr-fil fr-dib""><img src=""https://static.toss.im/faq/live/6a2d0ae7-88f3-4cbf-bf4a-a3aac017b923/오픈뱅킹 자동이체_3.png"" style=""width: 300px;"" class=""fr-fil fr-dib""></p><p><br></p>","토스에 새로운 계좌를 등록하셨다면, 해당 은행에서 자동이체 등록되었다는 문자가 발송돼요. 이 문자는 토스를 통해 송금할 수 있게 계좌가 잘 등록되었다는 뜻이에요. 토스(기관명: 비바리퍼블리카)에 자동이체/오픈뱅킹 출금 동의 가 되었다는 내용은 연결한 계좌에서 주기적으로 출금되거나, 자동 결제가 된다는 뜻이 아니니 안심하셔도 돼요. 해당 문자를 받았다면, 토스에 계좌가 잘 등록되어 원할 때 송금할 수 있어요. 다만, 다른 사람 이름의 오픈뱅킹/자동이체 등록 문자를 받았다면, 문자를 보낸 은행 고객센터 로 연락처 삭제를 요청해 주세요. 해당 은행에 연락처 등록이 잘못되어 수신된 문자에요. [ 연결계좌 관리하기 ]",2026-04-01T16:18:09,2021-05-10T02:02:38,True,True,1,5,"[12, 5, 14]","[30, 1841]","[""자동이체"", ""알림톡""]",servicetoss://customer-service-center/faq/detail?faqId=146
2113,토스 앱에서 송금을 한 뒤 송금확인증은 어떻게 발급받나요?,"<p>토스 앱을 이용하여 계좌로 송금한 후 송금 내역의 증빙 서류가 필요할 때, 아래의 경로로 <strong>송금 확인증</strong>을 발급받을 수 있어요.<br>송금 방법에 따라 발급 경로가 달라요.</p><p><br></p><p><strong>1. 다른 금융사 계좌를 이용하여 송금한 경우<br></strong></p><ul><li>토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스에 등록된 타 은행의 계좌] → 발급이 필요한 거래내역 선택 → [발급받기]</li><li><a href=""https://toss.im/_m/7AstIoOt"" rel=""noopener noreferrer"" target=""_blank""><strong>송금확인증 발급 바로가기</strong></a></li></ul><p>※ 한 번에<strong>&nbsp;최대 200건</strong>까지 발급할 수 있어요. 건수가 많을 경우, 발급이 원활하지 않을 수 있으니 나눠서 발급해 주세요.</p><p>※ 이메일 / 팩스 / PDF로 받기 중 선택해서 발급할 수 있어요. </p><p><br></p><p><strong>2. 토스뱅크 계좌를 이용하여 송금한 경우<br></strong></p><ul><li>토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스뱅크 계좌]</li></ul><p><br></p><p><strong>3. 토스증권 계좌를 이용하여 송금한 경우<br></strong></p><ul><li>토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스증권 계좌]</li></ul><p><br></p><p>만약 토스 앱을 사용해서 직접 발급하기 어려운 상황이라면 각 고객센터로 문의해 주세요.</p><ul><li>다른 금융사 계좌를 이용하여 송금한 경우 : 1599-4905</li><li>토스뱅크 계좌를 이용하여 송금한 경우 : 1661-7654</li><li>토스증권 계좌를 이용하여 송금한 경우 : 1599-7987</li></ul><p><br></p>","토스 앱을 이용하여 계좌로 송금한 후 송금 내역의 증빙 서류가 필요할 때, 아래의 경로로 송금 확인증 을 발급받을 수 있어요. 송금 방법에 따라 발급 경로가 달라요. 1. 다른 금융사 계좌를 이용하여 송금한 경우 토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스에 등록된 타 은행의 계좌] → 발급이 필요한 거래내역 선택 → [발급받기] 송금확인증 발급 바로가기 ※ 한 번에 최대 200건 까지 발급할 수 있어요. 건수가 많을 경우, 발급이 원활하지 않을 수 있으니 나눠서 발급해 주세요. ※ 이메일 / 팩스 / PDF로 받기 중 선택해서 발급할 수 있어요. 2. 토스뱅크 계좌를 이용하여 송금한 경우 토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스뱅크 계좌] 3. 토스증권 계좌를 이용하여 송금한 경우 토스 홈 → [전체] → [고객센터] → [송금확인증] → [토스증권 계좌] 만약 토스 앱을 사용해서 직접 발급하기 어려운 상황이라면 각 고객센터로 문의해 주세요. 다른 금융사 계좌를 이용하여 송금한 경우 : 1599-4905 토스뱅크 계좌를 이용하여 송금한 경우 : 1661-7654 토스증권 계좌를 이용하여 송금한 경우 : 1599-7987",2026-04-01T16:12:45,2022-08-19T18:27:09,True,True,1,5,[5],[25],"[""송금확인증""]",servicetoss://customer-service-center/faq/detail?faqId=2113
24608,"해외송금시, 수수료는 어떻게 부과되나요?","<p>토스뱅크 해외송금 수수료는 3,900원(또는 3,900원 상당의 외화)이며, 송금 완료 전 총 수수료를 사전에 안내드리고 있어요.<br data-start=""107"" data-end=""110"">송금 계좌에 따라 아래와 같이 부과되니 이용에 참고 부탁드려요.</p><p>1) 토스뱅크 원화 통장에서 송금하는 경우</p><ul data-end=""256"" data-start=""185""><li data-end=""203"" data-start=""185""><p>송금 수수료: 3,900원</p></li><li data-end=""236"" data-start=""206""><p>적용 환율: 전신환 매도율 (우대 50% 적용)</p></li><li data-end=""254"" data-start=""239""><p>거래/중개/전신료: 없음</p></li></ul><p>2) 토스뱅크 외화 통장에서 송금하는 경우</p><ul data-end=""374"" data-start=""291""><li data-end=""333"" data-start=""291""><p>송금 수수료: 3,900원 상당의 외화 (송금 시점 매매기준율 적용)</p></li><li data-end=""357"" data-start=""336""><p>거래 수수료: 송금액의 0.5%</p></li><li data-end=""372"" data-start=""360""><p>중개/전신료: 없음</p></li></ul><p>※ 이벤트 기간(2026년 1월 8일 ~ 2026년 3월 31일) 동안 송금 수수료 3,900원은 면제되어요.</p>","토스뱅크 해외송금 수수료는 3,900원(또는 3,900원 상당의 외화)이며, 송금 완료 전 총 수수료를 사전에 안내드리고 있어요. 송금 계좌에 따라 아래와 같이 부과되니 이용에 참고 부탁드려요. 1) 토스뱅크 원화 통장에서 송금하는 경우 송금 수수료: 3,900원 적용 환율: 전신환 매도율 (우대 50% 적용) 거래/중개/전신료: 없음 2) 토스뱅크 외화 통장에서 송금하는 경우 송금 수수료: 3,900원 상당의 외화 (송금 시점 매매기준율 적용) 거래 수수료: 송금액의 0.5% 중개/전신료: 없음 ※ 이벤트 기간(2026년 1월 8일 ~ 2026년 3월 31일) 동안 송금 수수료 3,900원은 면제되어요.",2026-04-01T16:01:02,2026-01-07T23:33:09,False,True,5,5,"[5, 6]","[1729, 1957]","[""해외송금"", ""토스뱅크 외화통장""]",
24602,해외송금 서비스 이용 가능 대상자가 궁금해요.,"<p>대한민국 국민인 거주자 중 14세 이상부터 서비스 이용이 가능해요.<br data-start=""55"" data-end=""58"" data-is-only-node=""""><br>거래외국환은행 지정 또한 14세 이상인 경우에만 가능하며, 14세 미만 미성년자는 대리 지정만 가능하도록 제한되어 있어요.<br data-start=""140"" data-end=""143"">(본인이 지정하더라도 계좌 개설이 불가해 해외송금이 어려운 점 양해 부탁드려요.) <br><br></p>","대한민국 국민인 거주자 중 14세 이상부터 서비스 이용이 가능해요. 거래외국환은행 지정 또한 14세 이상인 경우에만 가능하며, 14세 미만 미성년자는 대리 지정만 가능하도록 제한되어 있어요. (본인이 지정하더라도 계좌 개설이 불가해 해외송금이 어려운 점 양해 부탁드려요.)",2026-04-01T16:00:45,2026-01-07T23:24:50,False,True,5,5,"[12, 5]","[1729, 7]","[""해외송금"", ""송금""]",
24666,해외송금을 했는데 취소 가능한가요? 가능하다면 수수료도 환불 되나요?,<p><strong>이미 송금이 대기중 상태라면 취소는 불가해요.<br>더불어 수수료 환불도 불가한 점 양해 부탁드려요.</strong> </p>,이미 송금이 대기중 상태라면 취소는 불가해요. 더불어 수수료 환불도 불가한 점 양해 부탁드려요.,2026-04-01T15:48:07,2026-01-29T14:07:40,True,True,5,5,[5],[1729],"[""해외송금""]",
126,토스에서 송금하는 한도를 어떻게 높이나요?,"<p>토스에 등록된 타 계좌의 송금 한도는 1회 최대 200만 원 / 1일 1,000만 원으로 고정되어 있어서 한도를 높이거나 줄일 수 없어요.</p><p>다만, 만 19세 이상 성인임에도 한도가 50만 원이라면, 연결된 은행 계좌를 삭제 후 재연결이 필요해요.</p><ul><li><strong>계좌 삭제 방법</strong><ul><li>토스 홈 → 오른쪽 아래 [전체] → 오른쪽 위 설정(톱니바퀴 모양) → [송금] → 토스 송금 · 결제 계좌 관리 → 삭제를 원하는 계좌 옆 [해지] → 해지하기</li></ul></li><li><strong>계좌 연결 방법</strong><ul><li>토스 홈 → 오른쪽 아래 [전체] → 오른쪽 위 설정(톱니바퀴 모양) → '송금' → '토스 송금 · 결제 계좌 관리'<strong>&nbsp;</strong>→ 오른쪽 위 [계좌 추가]</li></ul></li></ul><p><br></p><p><a href=""https://support.toss.im/faq/5167"" rel=""noopener noreferrer"" target=""_blank""><strong>토스를 사용하는 미성년자 한도는 어떻게 되나요?</strong></a></p>","토스에 등록된 타 계좌의 송금 한도는 1회 최대 200만 원 / 1일 1,000만 원으로 고정되어 있어서 한도를 높이거나 줄일 수 없어요. 다만, 만 19세 이상 성인임에도 한도가 50만 원이라면, 연결된 은행 계좌를 삭제 후 재연결이 필요해요. 계좌 삭제 방법 토스 홈 → 오른쪽 아래 [전체] → 오른쪽 위 설정(톱니바퀴 모양) → [송금] → 토스 송금 · 결제 계좌 관리 → 삭제를 원하는 계좌 옆 [해지] → 해지하기 계좌 연결 방법 토스 홈 → 오른쪽 아래 [전체] → 오른쪽 위 설정(톱니바퀴 모양) → '송금' → '토스 송금 · 결제 계좌 관리' → 오른쪽 위 [계좌 추가] 토스를 사용하는 미성년자 한도는 어떻게 되나요?",2026-04-01T16:17:27,2021-05-09T20:50:40,False,False,1,5,[5],[78],"[""송금한도""]",servicetoss://customer-service-center/faq/detail?faqId=126
3907,토스 유스 서비스 중 편의점에서 토스머니 충전하기가 무엇인가요?,"<p>편의점에서 현금으로 토스머니를 채우고 꺼낼 수 있는 서비스예요.&nbsp;</p><p>해당 서비스 이용 방법은 아래와 같아요.</p><p><br></p><p>[앱 경로 및 사용 방법]</p><ul><li>'전체' → '편의점에서 토스머니 충전하기' → '어떤 편의점에서 충전할까요? GS25/CU 선택' → '충전하기 / 현금꺼내기 선택' → 직원에게 바코드 전달(1분 30초)</li></ul><p><br></p><ul class=""p-rich_text_list p-rich_text_list__bullet"" data-border=""0"" data-indent=""0"" data-stringify-type=""unordered-list""><li data-stringify-border=""0"" data-stringify-indent=""0"">충전할 수 있는 한도는 <strong>1회 최소 천 원 ~ 최대 10만원, 1일 최대 50만원까지&nbsp;</strong>가능하며, 꺼내기는 <strong>1회 최소 천 원 ~ 최대 3만원</strong>, <strong>1일 최대 3만원이에요.</strong>&nbsp;<ul><li data-stringify-border=""0"" data-stringify-indent=""0"">현재 충전은 GS25/CU, 꺼내기는 CU에서만 가능해요. 따라서 '꺼내기' 서비스를 이용하고 싶다면, CU편의점을 이용해주세요.&nbsp;</li><li data-stringify-border=""0"" data-stringify-indent=""0"">토스머니 보유 한도를 초과하는 경우 토스머니를 충전할 수 없어요.&nbsp;</li><li data-stringify-border=""0"" data-stringify-indent=""0"">'전체' → '토스머니 '→ '관리' → '내 토스머니 한도'에서 토스머니 보유 한도를 확인할 수 있어요.</li></ul></li><li data-stringify-border=""0"" data-stringify-indent=""0"">충전 1회 당 100원이 부과되며, 꺼내기의 경우 1회 당 500원의 수수료가 부과돼요.</li><li data-stringify-border=""0"" data-stringify-indent=""0"">전국 CU/GS25 편의점에서 언제든지 현금으로 충전할 수 있어요.<ul><li data-stringify-border=""0"" data-stringify-indent=""0"">단, 일부 법인 가맹점 및 CU휴게소점에서는 서비스 이용이 어려워요.&nbsp;</li></ul></li><li data-stringify-border=""0"" data-stringify-indent=""0"">해당 서비스를 사용할 수 있는 연령은 만 19세 미만이에요.</li><li data-stringify-border=""0"" data-stringify-indent=""0"">만약, CU/GS25 편의점 직원분이 충전 방법을 모른다면, 바코드 아래 <strong>""포스기에서 충전하는 방법""</strong> 버튼을 눌러 편의점 직원에게 보여 주세요.</li></ul><p><br></p><p><br></p><p><strong>※ 충전 한도는 GS25, CU 관계없이 통합 한도로 운영돼요.&nbsp;</strong></p><p>(ex. CU에서 하루 30만원을 충전했다면, GS25에서 당일 20만원까지 추가 충전이 가능해요.)</p><p>※ 토스머니 충전하기를 취소하고 싶다면, 아래 사항을 참고해주세요.</p><ul><li>CU : 직원에게 영수증 제출 필요</li><li>GS25 : 직원에게 문의 필요</li></ul><p><strong>※ 토스머니 충전하기는 교통카드 충전하기 기능과는 다른 기능이에요.</strong></p>","편의점에서 현금으로 토스머니를 채우고 꺼낼 수 있는 서비스예요. 해당 서비스 이용 방법은 아래와 같아요. [앱 경로 및 사용 방법] '전체' → '편의점에서 토스머니 충전하기' → '어떤 편의점에서 충전할까요? GS25/CU 선택' → '충전하기 / 현금꺼내기 선택' → 직원에게 바코드 전달(1분 30초) 충전할 수 있는 한도는 1회 최소 천 원 ~ 최대 10만원, 1일 최대 50만원까지 가능하며, 꺼내기는 1회 최소 천 원 ~ 최대 3만원 , 1일 최대 3만원이에요. 현재 충전은 GS25/CU, 꺼내기는 CU에서만 가능해요. 따라서 '꺼내기' 서비스를 이용하고 싶다면, CU편의점을 이용해주세요. 토스머니 보유 한도를 초과하는 경우 토스머니를 충전할 수 없어요. '전체' → '토스머니 '→ '관리' → '내 토스머니 한도'에서 토스머니 보유 한도를 확인할 수 있어요. 충전 1회 당 100원이 부과되며, 꺼내기의 경우 1회 당 500원의 수수료가 부과돼요. 전국 CU/GS25 편의점에서 언제든지 현금으로 충전할 수 있어요. 단, 일부 법인 가맹점 및 CU휴게소점에서는 서비스 이용이 어려워요. 해당 서비스를 사용할 수 있는 연령은 만 19세 미만이에요. 만약, CU/GS25 편의점 직원분이 충전 방법을 모른다면, 바코드 아래 ""포스기에서 충전하는 방법"" 버튼을 눌러 편의점 직원에게 보여 주세요. ※ 충전 한도는 GS25, CU 관계없이 통합 한도로 운영돼요. (ex. CU에서 하루 30만원을 충전했다면, GS25에서 당일 20만원까지 추가 충전이 가능해요.) ※ 토스머니 충전하기를 취소하고 싶다면, 아래 사항을 참고해주세요. CU : 직원에게 영수증 제출 필요 GS25 : 직원에게 문의 필요 ※ 토스머니 충전하기는 교통카드 충전하기 기능과는 다른 기능이에요.",2026-04-01T16:17:05,2022-12-07T22:26:14,False,False,1,5,"[237, 5]","[105, 1847]","[""토스머니"", ""유스서비스""]",servicetoss://customer-service-center/faq/detail?faqId=3907
124,토스에 연결된 계좌의 송금 한도가 궁금해요.,"<p><strong>만 19세 이상 성인의 송금 한도</strong></p><ul><li>1회 200만 원 / 1일 1,000만 원</li></ul><p><br></p><p><strong>만 19세 미만 미성년자의 송금 한도</strong></p><ul><li>1회 50만 원 / 1일 100만 원 / 1개월 200만 원</li><li>미성년자의 <strong>월 송금 한도</strong>에는 토스를 통한 모든 송금/충전/결제 한도가 포함돼요.</li></ul><p><br></p><p><strong>만 19세 미만 미성년자의 토스머니 입금 한도</strong></p><ul><li>연락처 송금으로 입금 받을 때 : 1회 50만 원</li><li>가상 계좌번호로 입금 받을 때 : 1회 20만 원 / 월 100만 원</li></ul><p><br></p><p><strong>위의 한도에서 늘리거나 줄이는 한도 변경은 할 수 없어요.</strong></p><p><strong></strong>또한, 토스는 금융사의 한도를 우선해서 적용하고 있어요. 위 한도보다 더 적은 금액만 송금이 가능하다고 나온다면, 금융사로 별도 송금 한도가 지정되어 있는지 문의해 주세요.</p><p>* 토스뱅크 계좌는 별도의 한도가 적용돼요.</p><p><br></p>","만 19세 이상 성인의 송금 한도 1회 200만 원 / 1일 1,000만 원 만 19세 미만 미성년자의 송금 한도 1회 50만 원 / 1일 100만 원 / 1개월 200만 원 미성년자의 월 송금 한도 에는 토스를 통한 모든 송금/충전/결제 한도가 포함돼요. 만 19세 미만 미성년자의 토스머니 입금 한도 연락처 송금으로 입금 받을 때 : 1회 50만 원 가상 계좌번호로 입금 받을 때 : 1회 20만 원 / 월 100만 원 위의 한도에서 늘리거나 줄이는 한도 변경은 할 수 없어요. 또한, 토스는 금융사의 한도를 우선해서 적용하고 있어요. 위 한도보다 더 적은 금액만 송금이 가능하다고 나온다면, 금융사로 별도 송금 한도가 지정되어 있는지 문의해 주세요. * 토스뱅크 계좌는 별도의 한도가 적용돼요.",2026-04-01T16:17:05,2021-05-09T17:55:57,False,False,1,5,[5],[78],"[""송금한도""]",servicetoss://customer-service-center/faq/detail?faqId=124
1015,토스뱅크 계좌의 송금한도는 어떻게 되나요?,"<p><strong>이체한도</strong></p><ul class=""p-rich_text_list p-rich_text_list__bullet"" data-border=""0"" data-indent=""0"" data-stringify-type=""unordered-list""><li data-stringify-border=""0"" data-stringify-indent=""0"">한도제한계좌 해제 고객 : 1일 5천만 원, 1회 1천만 원</li><li data-stringify-border=""0"" data-stringify-indent=""0"">추가인증 이용 고객 : 1일 5억 원, 1회 1억 원</li><li data-stringify-border=""0"" data-stringify-indent=""0"">임시증액 신청 고객 : 1일 20억 원, 1회 10억 원</li><li data-stringify-border=""0"" data-stringify-indent=""0"">토스뱅크 채우기 : 전 금융기관 합산 1일 최대 1천만 원</li></ul><p><strong>추가인증 등록과 임시증액은 각각 아래의 경로를 통해 진행할 수 있어요.</strong></p><ul class=""p-rich_text_list p-rich_text_list__bullet"" data-border=""0"" data-indent=""0"" data-stringify-type=""unordered-list""><li data-stringify-border=""0"" data-stringify-indent=""0"">추가인증(OTP)등록 : 전체 → 설정 → 송금 → 토스뱅크 인증수단 관리</li><li data-stringify-border=""0"" data-stringify-indent=""0"">임시증액 : 홈 → 토스뱅크통장 → 톱니바퀴 모양의 버튼(관리) → 내 송금 한도 → 임시 증액하기</li></ul><p>※ 19세 이상 한도계좌의 경우 1일/1회 : 2백만 원 까지 가능해요.<br>※ 미성년자 한도계좌의 경우 1일/1회 최대 1백만 원 까지 가능해요.<br>※ 외국인 한도계좌의 경우 1일/1회 최대 30만 원 까지 가능해요.<br><strong>※ 전기통신 금융사기에 활용된 사기이용계좌의 경우 1일/1회 최대 30만 원 까지 가능해요.<br>※ 한도제한계좌의 이체한도는 모바일앱을 이용한 이체와 토스뱅크 대면센터를 통한 출금∙이체 금액을 통합해서 사용해요.</strong></p><p>※ 입금하는 곳이 계좌가 아닌 연락처일 경우 토스의 송금한도에 따라 1회 200만 원/1일 1000만 원까지 가능한 점 참고 부탁드려요.<br>※ 한도계좌 해제 방법은 이 페이지에서 자세하게 확인할 수 있어요. (<a href=""https://support.toss.im/faq/tossbank/5241"" rel=""noopener noreferrer"" target=""_blank"">바로가기</a>)</p><p><br></p>","이체한도 한도제한계좌 해제 고객 : 1일 5천만 원, 1회 1천만 원 추가인증 이용 고객 : 1일 5억 원, 1회 1억 원 임시증액 신청 고객 : 1일 20억 원, 1회 10억 원 토스뱅크 채우기 : 전 금융기관 합산 1일 최대 1천만 원 추가인증 등록과 임시증액은 각각 아래의 경로를 통해 진행할 수 있어요. 추가인증(OTP)등록 : 전체 → 설정 → 송금 → 토스뱅크 인증수단 관리 임시증액 : 홈 → 토스뱅크통장 → 톱니바퀴 모양의 버튼(관리) → 내 송금 한도 → 임시 증액하기 ※ 19세 이상 한도계좌의 경우 1일/1회 : 2백만 원 까지 가능해요. ※ 미성년자 한도계좌의 경우 1일/1회 최대 1백만 원 까지 가능해요. ※ 외국인 한도계좌의 경우 1일/1회 최대 30만 원 까지 가능해요. ※ 전기통신 금융사기에 활용된 사기이용계좌의 경우 1일/1회 최대 30만 원 까지 가능해요. ※ 한도제한계좌의 이체한도는 모바일앱을 이용한 이체와 토스뱅크 대면센터를 통한 출금∙이체 금액을 통합해서 사용해요. ※ 입금하는 곳이 계좌가 아닌 연락처일 경우 토스의 송금한도에 따라 1회 200만 원/1일 1000만 원까지 가능한 점 참고 부탁드려요. ※ 한도계좌 해제 방법은 이 페이지에서 자세하게 확인할 수 있어요. ( 바로가기 )",2026-04-01T16:16:50,2021-09-09T05:42:13,False,False,5,5,"[12, 5, 23]","[123, 78, 7]","[""토스뱅크"", ""송금한도"", ""송금""]",
5365,토스뱅크 자동납부 해지는 어떻게 하나요?,"<p>자동 납부 해지는 토스뱅크 앱에서 직접 해지할 수 있어요.&nbsp;</p><p><strong>[앱 경로]&nbsp;</strong></p><ul><li>토스 앱 → 상단 '토스뱅크' &nbsp;→ '토스뱅크 통장' → 우측 상단 '관리' → '자동 납부' → 해지하고자 하는 자동 납부건 선택 → 하단 'CMS / 펌 / 지로 등 납부 타입' 눌러 해지하기&nbsp;</li></ul><p><br></p><p><strong>&lt;예시 미리보기&gt;</strong></p><p><img src=""https://static.toss.im/faq/live/9abfbfe6-bfaa-4048-b0de-c467aeb8a827/blob"" class=""fr-fil fr-dib"" style=""width: 399px;""></p><p><strong>※유의 사항 </strong></p><ul><li>토스뱅크에서 자동 납부를 해지하시면 앱 내에서 재등록이 어려워요. 단, 이용 기관에서 직접 해지하시면 재등록이 가능해요.&nbsp;</li><li>결제 수단 등록이 안된다면 연체가 발생할 수 있어요.&nbsp;</li><li>자동 납부를 등록한 당일에는 해지가 불가해요.&nbsp;</li><li>납부일이 가까운 날에 등록신청을 하면 연체가 발생할 수 있어요. </li></ul>","자동 납부 해지는 토스뱅크 앱에서 직접 해지할 수 있어요. [앱 경로] 토스 앱 → 상단 '토스뱅크' → '토스뱅크 통장' → 우측 상단 '관리' → '자동 납부' → 해지하고자 하는 자동 납부건 선택 → 하단 'CMS / 펌 / 지로 등 납부 타입' 눌러 해지하기 <예시 미리보기> ※유의 사항 토스뱅크에서 자동 납부를 해지하시면 앱 내에서 재등록이 어려워요. 단, 이용 기관에서 직접 해지하시면 재등록이 가능해요. 결제 수단 등록이 안된다면 연체가 발생할 수 있어요. 자동 납부를 등록한 당일에는 해지가 불가해요. 납부일이 가까운 날에 등록신청을 하면 연체가 발생할 수 있어요.",2026-04-01T16:16:11,2023-11-13T22:39:14,False,False,5,5,"[5, 6, 23]","[123, 319]","[""토스뱅크"", ""자동납부""]",
